"Threshold","MaxCluster","Singletons"
1e-04,55,1040
2e-04,103,903
3e-04,116,841
4e-04,118,802
5e-04,128,768
6e-04,139,726
7e-04,150,676
8e-04,165,631
9e-04,182,570
0.001,199,528
0.0011,208,491
0.0012,222,437
0.0013,225,391
0.0014,224,358
0.0015,224,319
0.0016,231,280
0.0017,234,248
0.0018,235,228
0.0019,226,213
0.002,219,201
0.0021,217,178
0.0022,212,165
0.0023,205,157
0.0024,195,146
0.0025,193,134
0.0026,187,124
0.0027,178,118
0.0028,168,112
0.0029,165,106
0.003,162,104
0.0031,158,101
0.0032,155,101
0.0033,152,99
0.0034,148,96
0.0035,145,94
0.0036,135,83
0.0037,133,81
0.0038,134,78
0.0039,131,77
0.004,120,72
0.0041,119,72
0.0042,112,67
0.0043,102,65
0.0044,99,65
0.0045,100,62
0.0046,98,62
0.0047,98,62
0.0048,99,59
0.0049,99,55
0.005,100,51
0.0051,99,50
0.0052,99,48
0.0053,99,48
0.0054,91,46
0.0055,91,42
0.0056,88,40
0.0057,84,35
0.0058,80,34
0.0059,80,32
0.006,81,30
0.0061,80,29
0.0062,80,28
0.0063,80,26
0.0064,80,23
0.0065,80,20
0.0066,78,20
0.0067,78,18
0.0068,76,18
0.0069,76,17
0.007,72,14
0.0071,70,10
0.0072,68,10
0.0073,67,9
0.0074,67,9
0.0075,64,9
0.0076,62,9
0.0077,62,9
0.0078,60,9
0.0079,59,9
0.008,58,8
0.0081,58,8
0.0082,57,7
0.0083,55,7
0.0084,54,7
0.0085,53,7
0.0086,52,6
0.0087,52,6
0.0088,42,5
0.0089,41,5
0.009,41,5
0.0091,40,5
0.0092,40,5
0.0093,40,5
0.0094,40,4
0.0095,40,4
0.0096,40,4
0.0097,39,4
0.0098,37,4
0.0099,37,4
0.01,37,4
0.0101,37,4
0.0102,37,4
0.0103,37,4
0.0104,36,4
0.0105,36,4
0.0106,36,4
0.0107,35,4
0.0108,35,4
0.0109,35,4
0.011,34,4
0.0111,34,4
0.0112,34,4
0.0113,34,4
0.0114,34,4
0.0115,33,4
0.0116,32,4
0.0117,30,4
0.0118,30,4
0.0119,30,4
0.012,30,4
0.0121,30,4
0.0122,30,4
0.0123,30,4
0.0124,30,4
0.0125,30,4
0.0126,30,4
0.0127,30,4
0.0128,30,4
0.0129,30,4
0.013,30,4
0.0131,30,4
0.0132,30,4
0.0133,30,4
0.0134,30,4
0.0135,30,4
0.0136,27,4
0.0137,27,4
0.0138,27,4
0.0139,27,4
0.014,27,4
0.0141,27,4
0.0142,26,4
0.0143,26,4
0.0144,26,4
0.0145,26,4
0.0146,25,4
0.0147,25,4
0.0148,25,4
0.0149,25,4
0.015,25,4
0.0151,25,4
0.0152,25,4
0.0153,25,4
0.0154,20,4
0.0155,20,4
0.0156,20,4
0.0157,20,4
0.0158,20,4
0.0159,19,4
0.016,19,4
0.0161,19,4
0.0162,19,4
0.0163,15,3
0.0164,15,3
0.0165,15,3
0.0166,15,3
0.0167,15,3
0.0168,15,3
0.0169,15,3
0.017,15,3
0.0171,15,3
0.0172,15,3
0.0173,15,3
0.0174,15,3
0.0175,15,3
0.0176,15,3
0.0177,15,3
0.0178,15,3
0.0179,15,3
0.018,15,3
0.0181,15,3
0.0182,15,3
0.0183,15,3
0.0184,15,3
0.0185,15,3
0.0186,15,3
0.0187,15,3
0.0188,15,3
0.0189,15,3
0.019,15,3
0.0191,15,3
0.0192,15,3
0.0193,15,3
0.0194,15,3
0.0195,15,3
0.0196,15,3
0.0197,15,3
0.0198,1,0
0.0199,1,0
0.02,1,0
0.0201,1,0
0.0202,1,0
0.0203,1,0
0.0204,1,0
0.0205,1,0
0.0206,1,0
0.0207,1,0
0.0208,1,0
0.0209,1,0
0.021,1,0
0.0211,1,0
0.0212,1,0
0.0213,1,0
0.0214,1,0
0.0215,1,0
0.0216,1,0
0.0217,1,0
0.0218,1,0
0.0219,1,0
0.022,1,0
0.0221,1,0
0.0222,1,0
0.0223,1,0
0.0224,1,0
0.0225,1,0
0.0226,1,0
0.0227,1,0
0.0228,1,0
0.0229,1,0
0.023,1,0
0.0231,1,0
0.0232,1,0
0.0233,1,0
0.0234,1,0
0.0235,1,0
0.0236,1,0
0.0237,1,0
0.0238,1,0
0.0239,1,0
0.024,1,0
0.0241,1,0
0.0242,1,0
0.0243,1,0
0.0244,1,0
0.0245,1,0
0.0246,1,0
0.0247,1,0
0.0248,1,0
0.0249,1,0
0.025,1,0
0.0251,1,0
0.0252,1,0
0.0253,1,0
0.0254,1,0
0.0255,1,0
0.0256,1,0
0.0257,1,0
0.0258,1,0
0.0259,1,0
0.026,1,0
0.0261,1,0
0.0262,1,0
0.0263,1,0
0.0264,1,0
0.0265,1,0
0.0266,1,0
0.0267,1,0
0.0268,1,0
0.0269,1,0
0.027,1,0
0.0271,1,0
0.0272,1,0
0.0273,1,0
0.0274,1,0
0.0275,1,0
0.0276,1,0
0.0277,1,0
0.0278,1,0
0.0279,1,0
0.028,1,0
0.0281,1,0
0.0282,1,0
0.0283,1,0
0.0284,1,0
0.0285,1,0
0.0286,1,0
0.0287,1,0
0.0288,1,0
0.0289,1,0
0.029,1,0
0.0291,1,0
0.0292,1,0
0.0293,1,0
0.0294,1,0
0.0295,1,0
0.0296,1,0
0.0297,1,0
0.0298,1,0
0.0299,1,0
0.03,1,0
0.0301,1,0
0.0302,1,0
0.0303,1,0
0.0304,1,0
0.0305,1,0
0.0306,1,0
0.0307,1,0
0.0308,1,0
0.0309,1,0
0.031,1,0
0.0311,1,0
0.0312,1,0
0.0313,1,0
0.0314,1,0
0.0315,1,0
0.0316,1,0
0.0317,1,0
0.0318,1,0
0.0319,1,0
0.032,1,0
0.0321,1,0
0.0322,1,0
0.0323,1,0
0.0324,1,0
0.0325,1,0
0.0326,1,0
0.0327,1,0
0.0328,1,0
0.0329,1,0
0.033,1,0
0.0331,1,0
0.0332,1,0
0.0333,1,0
0.0334,1,0
0.0335,1,0
0.0336,1,0
0.0337,1,0
0.0338,1,0
0.0339,1,0
0.034,1,0
0.0341,1,0
0.0342,1,0
0.0343,1,0
0.0344,1,0
0.0345,1,0
0.0346,1,0
0.0347,1,0
0.0348,1,0
0.0349,1,0
0.035,1,0
0.0351,1,0
0.0352,1,0
0.0353,1,0
0.0354,1,0
0.0355,1,0
0.0356,1,0
0.0357,1,0
0.0358,1,0
0.0359,1,0
0.036,1,0
0.0361,1,0
0.0362,1,0
0.0363,1,0
0.0364,1,0
0.0365,1,0
0.0366,1,0
0.0367,1,0
0.0368,1,0
0.0369,1,0
0.037,1,0
0.0371,1,0
0.0372,1,0
0.0373,1,0
0.0374,1,0
0.0375,1,0
0.0376,1,0
0.0377,1,0
0.0378,1,0
0.0379,1,0
0.038,1,0
0.0381,1,0
0.0382,1,0
0.0383,1,0
0.0384,1,0
0.0385,1,0
0.0386,1,0
0.0387,1,0
0.0388,1,0
0.0389,1,0
0.039,1,0
0.0391,1,0
0.0392,1,0
0.0393,1,0
0.0394,1,0
0.0395,1,0
0.0396,1,0
0.0397,1,0
0.0398,1,0
0.0399,1,0
0.04,1,0
0.0401,1,0
0.0402,1,0
0.0403,1,0
0.0404,1,0
0.0405,1,0
0.0406,1,0
0.0407,1,0
0.0408,1,0
0.0409,1,0
0.041,1,0
0.0411,1,0
0.0412,1,0
0.0413,1,0
0.0414,1,0
0.0415,1,0
0.0416,1,0
0.0417,1,0
0.0418,1,0
0.0419,1,0
0.042,1,0
0.0421,1,0
0.0422,1,0
0.0423,1,0
0.0424,1,0
0.0425,1,0
0.0426,1,0
0.0427,1,0
0.0428,1,0
0.0429,1,0
0.043,1,0
0.0431,1,0
0.0432,1,0
0.0433,1,0
0.0434,1,0
0.0435,1,0
0.0436,1,0
0.0437,1,0
0.0438,1,0
0.0439,1,0
0.044,1,0
0.0441,1,0
0.0442,1,0
0.0443,1,0
0.0444,1,0
0.0445,1,0
0.0446,1,0
0.0447,1,0
0.0448,1,0
0.0449,1,0
0.045,1,0
0.0451,1,0
0.0452,1,0
0.0453,1,0
0.0454,1,0
0.0455,1,0
0.0456,1,0
0.0457,1,0
0.0458,1,0
0.0459,1,0
0.046,1,0
0.0461,1,0
0.0462,1,0
0.0463,1,0
0.0464,1,0
0.0465,1,0
0.0466,1,0
0.0467,1,0
0.0468,1,0
0.0469,1,0
0.047,1,0
0.0471,1,0
0.0472,1,0
0.0473,1,0
0.0474,1,0
0.0475,1,0
0.0476,1,0
0.0477,1,0
0.0478,1,0
0.0479,1,0
0.048,1,0
0.0481,1,0
0.0482,1,0
0.0483,1,0
0.0484,1,0
0.0485,1,0
0.0486,1,0
0.0487,1,0
0.0488,1,0
0.0489,1,0
0.049,1,0
0.0491,1,0
0.0492,1,0
0.0493,1,0
0.0494,1,0
0.0495,1,0
0.0496,1,0
0.0497,1,0
0.0498,1,0
0.0499,1,0
0.05,1,0
0.0501,1,0
0.0502,1,0
0.0503,1,0
0.0504,1,0
0.0505,1,0
0.0506,1,0
0.0507,1,0
0.0508,1,0
0.0509,1,0
0.051,1,0
0.0511,1,0
0.0512,1,0
0.0513,1,0
0.0514,1,0
0.0515,1,0
0.0516,1,0
0.0517,1,0
0.0518,1,0
0.0519,1,0
0.052,1,0
0.0521,1,0
0.0522,1,0
0.0523,1,0
0.0524,1,0
0.0525,1,0
0.0526,1,0
0.0527,1,0
0.0528,1,0
0.0529,1,0
0.053,1,0
0.0531,1,0
0.0532,1,0
0.0533,1,0
0.0534,1,0
0.0535,1,0
0.0536,1,0
0.0537,1,0
0.0538,1,0
0.0539,1,0
0.054,1,0
0.0541,1,0
0.0542,1,0
0.0543,1,0
0.0544,1,0
0.0545,1,0
0.0546,1,0
0.0547,1,0
0.0548,1,0
0.0549,1,0
0.055,1,0
0.0551,1,0
0.0552,1,0
0.0553,1,0
0.0554,1,0
0.0555,1,0
0.0556,1,0
0.0557,1,0
0.0558,1,0
0.0559,1,0
0.056,1,0
0.0561,1,0
0.0562,1,0
0.0563,1,0
0.0564,1,0
0.0565,1,0
0.0566,1,0
0.0567,1,0
0.0568,1,0
0.0569,1,0
0.057,1,0
0.0571,1,0
0.0572,1,0
0.0573,1,0
0.0574,1,0
0.0575,1,0
0.0576,1,0
0.0577,1,0
0.0578,1,0
0.0579,1,0
0.058,1,0
0.0581,1,0
0.0582,1,0
0.0583,1,0
0.0584,1,0
0.0585,1,0
0.0586,1,0
0.0587,1,0
0.0588,1,0
0.0589,1,0
0.059,1,0
0.0591,1,0
0.0592,1,0
0.0593,1,0
0.0594,1,0
0.0595,1,0
0.0596,1,0
0.0597,1,0
0.0598,1,0
0.0599,1,0
0.06,1,0
0.0601,1,0
0.0602,1,0
0.0603,1,0
0.0604,1,0
0.0605,1,0
0.0606,1,0
0.0607,1,0
0.0608,1,0
0.0609,1,0
0.061,1,0
0.0611,1,0
0.0612,1,0
0.0613,1,0
0.0614,1,0
0.0615,1,0
0.0616,1,0
0.0617,1,0
0.0618,1,0
0.0619,1,0
0.062,1,0
0.0621,1,0
0.0622,1,0
0.0623,1,0
0.0624,1,0
0.0625,1,0
0.0626,1,0
0.0627,1,0
0.0628,1,0
0.0629,1,0
0.063,1,0
0.0631,1,0
0.0632,1,0
0.0633,1,0
0.0634,1,0
0.0635,1,0
0.0636,1,0
0.0637,1,0
0.0638,1,0
0.0639,1,0
0.064,1,0
0.0641,1,0
0.0642,1,0
0.0643,1,0
0.0644,1,0
0.0645,1,0
0.0646,1,0
0.0647,1,0
0.0648,1,0
0.0649,1,0
0.065,1,0
0.0651,1,0
0.0652,1,0
0.0653,1,0
0.0654,1,0
0.0655,1,0
0.0656,1,0
0.0657,1,0
0.0658,1,0
0.0659,1,0
0.066,1,0
0.0661,1,0
0.0662,1,0
0.0663,1,0
0.0664,1,0
0.0665,1,0
0.0666,1,0
0.0667,1,0
0.0668,1,0
0.0669,1,0
0.067,1,0
0.0671,1,0
0.0672,1,0
0.0673,1,0
0.0674,1,0
0.0675,1,0
0.0676,1,0
0.0677,1,0
0.0678,1,0
0.0679,1,0
0.068,1,0
0.0681,1,0
0.0682,1,0
0.0683,1,0
0.0684,1,0
0.0685,1,0
0.0686,1,0
0.0687,1,0
0.0688,1,0
0.0689,1,0
0.069,1,0
0.0691,1,0
0.0692,1,0
0.0693,1,0
0.0694,1,0
0.0695,1,0
0.0696,1,0
0.0697,1,0
0.0698,1,0
0.0699,1,0
0.07,1,0
0.0701,1,0
0.0702,1,0
0.0703,1,0
0.0704,1,0
0.0705,1,0
0.0706,1,0
0.0707,1,0
0.0708,1,0
0.0709,1,0
0.071,1,0
0.0711,1,0
0.0712,1,0
0.0713,1,0
0.0714,1,0
0.0715,1,0
0.0716,1,0
0.0717,1,0
0.0718,1,0
0.0719,1,0
0.072,1,0
0.0721,1,0
0.0722,1,0
0.0723,1,0
0.0724,1,0
0.0725,1,0
0.0726,1,0
0.0727,1,0
0.0728,1,0
0.0729,1,0
0.073,1,0
0.0731,1,0
0.0732,1,0
0.0733,1,0
0.0734,1,0
0.0735,1,0
0.0736,1,0
0.0737,1,0
0.0738,1,0
0.0739,1,0
0.074,1,0
0.0741,1,0
0.0742,1,0
0.0743,1,0
0.0744,1,0
0.0745,1,0
0.0746,1,0
0.0747,1,0
0.0748,1,0
0.0749,1,0
0.075,1,0
0.0751,1,0
0.0752,1,0
0.0753,1,0
0.0754,1,0
0.0755,1,0
0.0756,1,0
0.0757,1,0
0.0758,1,0
0.0759,1,0
0.076,1,0
0.0761,1,0
0.0762,1,0
0.0763,1,0
0.0764,1,0
0.0765,1,0
0.0766,1,0
0.0767,1,0
0.0768,1,0
0.0769,1,0
0.077,1,0
0.0771,1,0
0.0772,1,0
0.0773,1,0
0.0774,1,0
0.0775,1,0
0.0776,1,0
0.0777,1,0
0.0778,1,0
0.0779,1,0
0.078,1,0
0.0781,1,0
0.0782,1,0
0.0783,1,0
0.0784,1,0
0.0785,1,0
0.0786,1,0
0.0787,1,0
0.0788,1,0
0.0789,1,0
0.079,1,0
0.0791,1,0
0.0792,1,0
0.0793,1,0
0.0794,1,0
0.0795,1,0
0.0796,1,0
0.0797,1,0
0.0798,1,0
0.0799,1,0
0.08,1,0
0.0801,1,0
0.0802,1,0
0.0803,1,0
0.0804,1,0
0.0805,1,0
0.0806,1,0
0.0807,1,0
0.0808,1,0
0.0809,1,0
0.081,1,0
0.0811,1,0
0.0812,1,0
0.0813,1,0
0.0814,1,0
0.0815,1,0
0.0816,1,0
0.0817,1,0
0.0818,1,0
0.0819,1,0
0.082,1,0
0.0821,1,0
0.0822,1,0
0.0823,1,0
0.0824,1,0
0.0825,1,0
0.0826,1,0
0.0827,1,0
0.0828,1,0
0.0829,1,0
0.083,1,0
0.0831,1,0
0.0832,1,0
0.0833,1,0
0.0834,1,0
0.0835,1,0
0.0836,1,0
0.0837,1,0
0.0838,1,0
0.0839,1,0
0.084,1,0
0.0841,1,0
0.0842,1,0
0.0843,1,0
0.0844,1,0
0.0845,1,0
0.0846,1,0
0.0847,1,0
0.0848,1,0
0.0849,1,0
0.085,1,0
0.0851,1,0
0.0852,1,0
0.0853,1,0
0.0854,1,0
0.0855,1,0
0.0856,1,0
0.0857,1,0
0.0858,1,0
0.0859,1,0
0.086,1,0
0.0861,1,0
0.0862,1,0
0.0863,1,0
0.0864,1,0
0.0865,1,0
0.0866,1,0
0.0867,1,0
0.0868,1,0
0.0869,1,0
0.087,1,0
0.0871,1,0
0.0872,1,0
0.0873,1,0
0.0874,1,0
0.0875,1,0
0.0876,1,0
0.0877,1,0
0.0878,1,0
0.0879,1,0
0.088,1,0
0.0881,1,0
0.0882,1,0
0.0883,1,0
0.0884,1,0
0.0885,1,0
0.0886,1,0
0.0887,1,0
0.0888,1,0
0.0889,1,0
0.089,1,0
0.0891,1,0
0.0892,1,0
0.0893,1,0
0.0894,1,0
0.0895,1,0
0.0896,1,0
0.0897,1,0
0.0898,1,0
0.0899,1,0
0.09,1,0
0.0901,1,0
0.0902,1,0
0.0903,1,0
0.0904,1,0
0.0905,1,0
0.0906,1,0
0.0907,1,0
0.0908,1,0
0.0909,1,0
0.091,1,0
0.0911,1,0
0.0912,1,0
0.0913,1,0
0.0914,1,0
0.0915,1,0
0.0916,1,0
0.0917,1,0
0.0918,1,0
0.0919,1,0
0.092,1,0
0.0921,1,0
0.0922,1,0
0.0923,1,0
0.0924,1,0
0.0925,1,0
0.0926,1,0
0.0927,1,0
0.0928,1,0
0.0929,1,0
0.093,1,0
0.0931,1,0
0.0932,1,0
0.0933,1,0
0.0934,1,0
0.0935,1,0
0.0936,1,0
0.0937,1,0
0.0938,1,0
0.0939,1,0
0.094,1,0
0.0941,1,0
0.0942,1,0
0.0943,1,0
0.0944,1,0
0.0945,1,0
0.0946,1,0
0.0947,1,0
0.0948,1,0
0.0949,1,0
0.095,1,0
0.0951,1,0
0.0952,1,0
0.0953,1,0
0.0954,1,0
0.0955,1,0
0.0956,1,0
0.0957,1,0
0.0958,1,0
0.0959,1,0
0.096,1,0
0.0961,1,0
0.0962,1,0
0.0963,1,0
0.0964,1,0
0.0965,1,0
0.0966,1,0
0.0967,1,0
0.0968,1,0
0.0969,1,0
0.097,1,0
0.0971,1,0
0.0972,1,0
0.0973,1,0
0.0974,1,0
0.0975,1,0
0.0976,1,0
0.0977,1,0
0.0978,1,0
0.0979,1,0
0.098,1,0
0.0981,1,0
0.0982,1,0
0.0983,1,0
0.0984,1,0
0.0985,1,0
0.0986,1,0
0.0987,1,0
0.0988,1,0
0.0989,1,0
0.099,1,0
0.0991,1,0
0.0992,1,0
0.0993,1,0
0.0994,1,0
0.0995,1,0
0.0996,1,0
0.0997,1,0
0.0998,1,0
0.0999,1,0
0.1,1,0
0,1,1198
